Note	Duration
F#3	0.25
D#3	0.5
D3	0.25
C3	0.5
D3	0.75
D#3	0.5
F#3	0.25
G3	0.5
A3	0.25
A#3	0.5
C4	0.25
A3	0.75
G3	0.25
A#3	0.25
A3	0.25
G3	0.25
F#3	0.25
G3	1.0
C4	0.75
A3	0.5
C4	0.25
A#3>	1.0
C4	0.5
A3	0.5
G3	0.5
A#3>	0.5
F#3	0.25
G3	0.5
D#3	0.25
D3	0.5
C3	0.75
D3	0.125
D#3	0.125
D3	0.125
C3	0.125
C3	0.125
A#2>	0.125
C3	0.5
D3	0.5
D#3	0.25
F#3	0.5
D3	0.25
D#3	0.25
C3	0.25
D3	0.75
A3	0.25
F#3	0.25
D#3	0.25
D3	0.5
G3	0.75
A3	0.125
A#3	0.125
A3	0.125
G3	0.125
G3	0.125
F#3	0.125
G3	0.5
D4	0.75
E4	0.125
F4	0.125
E4	0.125
D4	0.125
D4	0.125
C#4	0.125
D4	0.5
C4	0.5
A#3>	0.25
C4	0.5
E4	0.25
D4	0.5
C#4	0.25
A#3	0.5
A3	0.25
G3	0.25
A#3	0.25
A3	0.5
F#3	0.75
A3	0.25
Es	0.25
F#3	0.5
D#3	0.25
D3	0.125
C3	0.125
D3	0.5
D#3	0.25
F#3	0.25
D#3	0.25
D3	0.5
G3	1.0
F#3	0.5
G3	1.0
A3	0.5
A#3	0.25
C4	0.25
A#3	0.25
A3	0.25
G3	0.5
F#3	0.25
D#3	0.5
D3	0.25
C3	0.5
D3	0.75
D#3	0.5
F#3	0.25
G3	0.5
A3	0.25
A#3	0.5
C4	0.25
A3	0.75
G3	0.25
A#3	0.25
A3	0.25
G3	0.25
F#3	0.25
G3	1.0
C4	0.75
A3	0.5
C4	0.25
A#3>	1.0
C4	0.5
A3	0.5
G3	0.5
A#3>	0.5
F#3	0.25
G3	0.5
D#3	0.25
D3	0.5
C3	0.75
D3	0.125
D#3	0.125
D3	0.125
C3	0.125
C3	0.125
A#2>	0.125
C3	0.5
D3	0.5
D#3	0.25
F#3	0.5
D3	0.25
D#3	0.25
C3	0.25
D3	0.75
A3	0.25
F#3	0.25
D#3	0.25
D3	0.5
G3	0.75
A3	0.125
A#3	0.125
A3	0.125
G3	0.125
G3	0.125
F#3	0.125
G3	0.5
D4	0.75
E4	0.125
F4	0.125
E4	0.125
D4	0.125
D4	0.125
C#4	0.125
D4	0.5
C4	0.5
A#3>	0.25
C4	0.5
E4	0.25
D4	0.5
C#4	0.25
A#3	0.5
A3	0.25
G3	0.25
A#3	0.25
A3	0.5
F#3	0.75
A3	0.25
Es	0.25
F#3	0.5
D#3	0.25
D3	0.125
C3	0.125
D3	0.5
D#3	0.25
F#3	0.25
D#3	0.25
D3	0.5
A3	0.25
A#3>	0.25
C4	0.5
A3	0.5
D4	0.5
C4	0.75
A#3	0.25
A3	0.25
A#3	0.25
A3	0.25
G3	0.25
F3	0.25
G3	0.25
F3	0.25
D#3>	0.25
D3	0.5
Es	0.5
G3	0.5
D#3>	0.25
F3	0.25
Es	0.25
D3	0.25
D#3>	0.25
Es	0.25
C3	0.25
D3	0.5
C3	0.25
A#2>	0.25
A2	0.25
A#2>	0.25
C3	0.25
D3	0.25
D#3>	0.25
F3	0.25
G3	0.25
F3	0.5
A3	0.5
G3	0.75
C4	0.25
A#3>	0.25
A3	0.25
G3	1.0
A3	0.25
A#3>	0.25
C4	0.125
D4	0.125
C4	0.125
D4	0.125
A#3>	0.125
C4	0.125
A#3>	0.125
C4	0.125
A3	0.125
A#3	0.125
A3	0.125
A#3	0.125
G3	0.25
A3	0.25
G3	0.125
A3	0.25
G3	0.125
F3	0.5
A#3	0.5
A3	0.25
C4	0.5
A3	0.25
G3	0.25
F3	0.25
Es	0.25
F3	0.25
G3	0.25
A3	0.25
A#3	0.125
C4	0.125
A#3	0.125
C4	0.125
A3	0.125
A#3	0.125
A3	0.125
A#3	0.125
G3	0.125
A3	0.125
G3	0.125
A3	0.125
F3	0.25
D#3>	0.25
F3	0.25
D#3>	0.25
D3	0.5
G3	0.375
A3	0.125
G3	0.125
F3	0.125
D#3>	0.25
F3	0.375
G3	0.125
F3	0.125
D#3>	0.125
D3	0.25
D#3>	0.375
F3	0.125
D#3>	0.125
D3	0.125
C3	0.25
D3	0.25
D#3>	0.25
F3	0.5
A3	0.5
G3	0.25
F3	0.5
A3	0.25
G3	0.5
C4	0.25
A#3	0.25
A3	0.25
G3	0.25
F3	0.25
D#3>	0.25
F3	0.5
G3	0.25
D#3>	0.5
D3	0.25
C3	0.25
A#2>	0.25
C3	0.5
D3	0.25
D#3>	0.25
F3	0.25
G3	0.25
F3	0.25
D#3>	0.25
D3	0.5
Es	0.5
E3	1.0
D3	0.5
G3	1.0
A3	0.5
G3	0.75
E3	0.5
F3	0.25
D3	1.0
Es	0.5
C3	0.25
D3	0.25
E3	0.375
D3	0.125
E3	0.25
G3	0.25
F3	1.5
G3	0.5
E3	0.25
F3	0.25
D3	0.25
E3	0.25
C3	1.0
Es	0.5
E3	1.0
D3	0.5
C3	0.25
D3	0.25
E3	0.25
F3	0.25
G3	1.0
D3	0.5
C3	0.5
A2	0.5
G2	0.5
Es	0.5
G3	0.25
A3	0.25
A#3>	0.5
D4	0.25
C4	0.25
A3	1.5
G3	0.5
C4	0.25
A#3>	0.25
A3	0.25
G3	0.25
F3>	0.25
E3	0.25
D3	0.5
E3	0.375
D3	0.125
E3	0.25
F3>	0.25
G3	1.0
D3	0.5
A3	0.5
F3>	0.5
G3	0.5
E3	0.5
F3>	0.5
D3	1.0
C3	0.25
D3	0.25
E3	0.25
F3	0.25
E3	0.25
F3	0.25
D3	0.5
C3	1.0
A2	0.5
G2	0.5
C3	0.5
A2	0.25
G2	0.5
C3	0.25
D3	0.5
Es	0.5
E3	1.0
D3	0.5
G3	1.0
A3	0.5
G3	0.75
E3	0.5
F3	0.25
D3	1.0
Es	0.5
C3	0.25
D3	0.25
E3	0.375
D3	0.125
E3	0.25
G3	0.25
F3	1.5
G3	0.5
E3	0.25
F3	0.25
D3	0.25
E3	0.25
C3	1.0
Es	0.5
E3	1.0
D3	0.5
C3	0.25
D3	0.25
E3	0.25
F3	0.25
G3	1.0
D3	0.5
C3	0.5
A2	0.5
G2	0.5
Es	0.5
G3	0.25
A3	0.25
A#3>	0.5
D4	0.25
C4	0.25
A3	1.5
G3	0.5
C4	0.25
A#3>	0.25
A3	0.25
G3	0.25
F3>	0.25
